epsilon,Q2,R,stat_err,syst_err,exp_id,norm_group
0.39,0.84,1.0070,0.0122,0.018704,CLAS,CLAS_SCALE
0.52,0.86,0.9896,0.0109,0.012434,CLAS,CLAS_SCALE
0.83,0.85,1.0074,0.0066,0.006361,CLAS,CLAS_SCALE
0.91,0.85,0.9976,0.0054,0.004934,CLAS,CLAS_SCALE
0.40,1.44,1.0282,0.0102,0.011414,CLAS,CLAS_SCALE
0.60,1.45,1.0047,0.0131,0.008430,CLAS,CLAS_SCALE
0.76,1.46,0.9943,0.0109,0.007972,CLAS,CLAS_SCALE
0.83,1.47,0.9956,0.0122,0.006261,CLAS,CLAS_SCALE
0.90,1.47,0.9965,0.0111,0.007234,CLAS,CLAS_SCALE
0.45,0.72,1.0052,0.0113,0.006826,CLAS,CLAS_SCALE
0.45,0.89,1.0009,0.0110,0.013914,CLAS,CLAS_SCALE
0.45,1.14,1.0239,0.0112,0.010283,CLAS,CLAS_SCALE
0.45,1.73,1.0176,0.0118,0.012746,CLAS,CLAS_SCALE
0.92,0.23,0.9920,0.0020,0.005261,CLAS,CLAS_SCALE
0.89,0.34,0.9888,0.0022,0.004464,CLAS,CLAS_SCALE
0.89,0.45,0.9974,0.0022,0.004415,CLAS,CLAS_SCALE
0.89,0.63,1.0025,0.0029,0.006231,CLAS,CLAS_SCALE
0.88,0.89,1.0097,0.0036,0.005852,CLAS,CLAS_SCALE
0.87,1.42,1.0000,0.0067,0.006265,CLAS,CLAS_SCALE
