epsilon,Q2,R,stat_err,syst_err,exp_id,norm_group
0.978,0.165,0.9967,0.0003,0.005846,OLYMPUS,OLYMPUS_SCALE
0.898,0.624,0.9948,0.0019,0.005726,OLYMPUS,OLYMPUS_SCALE
0.887,0.674,0.9913,0.0021,0.006215,OLYMPUS,OLYMPUS_SCALE
0.876,0.724,0.9927,0.0023,0.007493,OLYMPUS,OLYMPUS_SCALE
0.865,0.774,0.9921,0.0026,0.006573,OLYMPUS,OLYMPUS_SCALE
0.853,0.824,0.9918,0.0029,0.004939,OLYMPUS,OLYMPUS_SCALE
0.841,0.874,0.9952,0.0032,0.006078,OLYMPUS,OLYMPUS_SCALE
0.829,0.924,0.9967,0.0036,0.005845,OLYMPUS,OLYMPUS_SCALE
0.816,0.974,0.9998,0.0039,0.005561,OLYMPUS,OLYMPUS_SCALE
0.803,1.024,0.9969,0.0043,0.006949,OLYMPUS,OLYMPUS_SCALE
0.789,1.074,0.9955,0.0047,0.006930,OLYMPUS,OLYMPUS_SCALE
0.775,1.124,0.9960,0.0052,0.007235,OLYMPUS,OLYMPUS_SCALE
0.761,1.174,1.0011,0.0057,0.008631,OLYMPUS,OLYMPUS_SCALE
0.739,1.246,1.0007,0.0046,0.007726,OLYMPUS,OLYMPUS_SCALE
0.708,1.347,0.9985,0.0054,0.007284,OLYMPUS,OLYMPUS_SCALE
0.676,1.447,0.9912,0.0063,0.007071,OLYMPUS,OLYMPUS_SCALE
0.635,1.568,1.0126,0.0063,0.009005,OLYMPUS,OLYMPUS_SCALE
0.581,1.718,1.0063,0.0077,0.012319,OLYMPUS,OLYMPUS_SCALE
0.524,1.868,1.0055,0.0095,0.015341,OLYMPUS,OLYMPUS_SCALE
0.456,2.038,1.0212,0.0104,0.015134,OLYMPUS,OLYMPUS_SCALE
